group,subgroup,caresettingprincipal,codecat,codetype,code,t1_index,t2_index,t2_fup,t3_index,t3_fup,t4_index,t4_fup,rawlabdatetype,rawlabresult,codesupply
pregnant,delivery,'IP*',DX,09,65391,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65401,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65402,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65411,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65412,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65421,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65431,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65432,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65441,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65442,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65451,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65452,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65461,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65462,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65471,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65472,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65481,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65482,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65491,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65492,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65501,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65511,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
pregnant,delivery,'IP*',DX,09,65521,NOT,NOT,NOT,NOT,NOT,DEF,NOT,,,NA
